[AddictionAndRecovery; inCodeSet; _CategoryCodeSet_Services_Main]
[Food Pantry (The Salvation Army West Philadelphia Corps Community Center); name; ""]
[Adult Psychological Services (Equilibria Psychological and Consultation Services); name; ""]
[Outpatient Mental Health Services (Gemma Services); name; ""]
[Food Pantry (Golden Star Baptist Church); name; "Food Pantry (Golden Star Baptist Church)"]
[Children's Mental Health Crisis Services (Philadelphia Children's Crisis Response Center); name; ""]
[Fairmount Primary Care Center at Horizon House (Delaware Valley Community Health, Inc.); name; "Fairmount Primary Care Center at Horizon House (Delaware Valley Community Health, Inc.)"]
[ Adolescent Intensive After-School Program (Elwyn)_5217279899074560; name; "Child / Adolescent Intensive After-School Program (Elwyn)"]
[Crisis Residence (Citizens Acting Together Can Help, Inc.); name; "Crisis Residence (Citizens Acting Together Can Help, Inc.)"]
[Counseling Services (Antonia Cianfrani, MA, ATR-BC, LPC); name; "Counseling Services (Antonia Cianfrani, MA, ATR-BC, LPC)"]
[Philly LIFTS (The City of Philadelphia Department of Behavioral Health and Intellectual disAbility Services); name; ""]
[AIDS and STI Testing (Bebashi)_5584011499405312; name; ""]
[Psychosis Treatment (University of Pennsylvania - Perelman School of Medicine - Psychosis Evaluation & Recovery Center); name; "Psychosis Treatment (University of Pennsylvania - Perelman School of Medicine - Psychosis Evaluation & Recovery Center)"]
[Fresh Produce (Sanctuary Farm); name; ""]
[Support Services (Clothed N Strength Inc); name; ""]
[SFHF Food Bank (Summers Home for Hope); name; "SFHF Food Bank (Summers Home for Hope)"]
[Mental Health Services (Mazzoni Center); name; "Mental Health Services (Mazzoni Center)"]
[Feeding Ministry (Willow Grove Seventh-day Adventist Church); name; "Feeding Ministry (Willow Grove Seventh-day Adventist Church)"]
[Food Pantry (United Methodist Neighborhood Services); name; ""]
[Community Support Services (Better Living Center); name; ""]
[Therapy (Equilibria Psychological and Consultation Services); name; ""]
[Inpatient Treatment (Malvern Treatment Centers); name; "Inpatient Treatment (Malvern Treatment Centers)"]
[Substance Abuse Intensive Outpatient (Wedge Recovery Center)_v2; name; "Substance Abuse Intensive Outpatient (Wedge Recovery Center)"]
[Opioid Treatment Program (Northeast Treatment Centers, Inc,); name; ""]
[Fairmount Primary Care Center at Girard Medical Center (Delaware Valley Community Health, Inc.); name; "Fairmount Primary Care Center at Girard Medical Center (Delaware Valley Community Health, Inc.)"]
[Center for Brief Therapy (Philadelphia College of Osteopathic Medicine Healthcare Centers); name; ""]
[Addiction Services (University of Pennsylvania Perelman School of Medicine); name; ""]
[Community Integrated Recovery Center CIRC at Packer (Citizens Acting Together Can Help, Inc.); name; "Community Integrated Recovery Center CIRC at Packer (Citizens Acting Together Can Help, Inc.)"]
[Behavioural Health Services - Youth and Family (Public Health Management Corporation); name; ""]
[Substance Use Disorder SUD Program (Department Of Veterans Affairs VA - Veterans Health Administration VHA); name; "Substance Use Disorder SUD Program (Department Of Veterans Affairs VA - Veterans Health Administration VHA)"]
[The Goldman Clinic (The Behavioral Wellness Center at Girard); name; ""]
[Children's Behavioral Health Outpatient Program (The Consortium, Inc.); name; "Children's Behavioral Health Outpatient Program (The Consortium, Inc.)"]
[Food Pantry (St. Mark's Evangelical Lutheran Church); name; ""]
[Outpatient Drug and Alcohol Treatment (Women's Institute for Family Health); name; ""]
[Food Pantry (St. Paul Metropolitan A.M.E. Church); name; ""]
[Helping Hands For The Hungry (Saint Cyprian Church); name; "Helping Hands For The Hungry (Saint Cyprian Church)"]
[Mental Health Therapy (Julia Ferrence, MSW, LSSW.); name; "Mental Health Therapy (Julia Ferrence, MSW, LSSW.)"]
[Crisis Care Services (Covenant House); name; ""]
[Outpatient Rehabilitation (Good Shepherd Rehabilitation); name; ""]
[Food Pantry (Annie's Kitchen Food Cupboard); name; "Food Pantry (Annie's Kitchen Food Cupboard)"]
[Latina Domestic Violence Program LDVP (Congreso de Latinos Unidos, Inc.); name; "Latina Domestic Violence Program LDVP (Congreso de Latinos Unidos, Inc.)"]
[Family Based Mental Health Services FBMHS (Gemma Services); name; "Family Based Mental Health Services FBMHS (Gemma Services)"]
[Outpatient Mental and Behavioral Health Therapy Services (Einstein Healthcare Network); name; "Outpatient Mental and Behavioral Health Therapy Services (Einstein Healthcare Network)"]
[Opioid Treatment Program OTP (Achievement Through Counseling and Treatment ACT 1); name; "Opioid Treatment Program OTP (Achievement Through Counseling and Treatment ACT 1)"]
[Soup Kitchen and Food Pantry (Zion Hill Baptist Church); name; "Soup Kitchen and Food Pantry (Zion Hill Baptist Church)"]
[Clinica Bienestar (The Institute for Community Justice); name; ""]
[Child Outpatient Behavioral Health Services (Merakey - Pennsylvania); name; ""]
[Behavioural Health Services - Youth and Family (Public Health Management Corporation); name; "Behavioural Health Services - Youth and Family (Public Health Management Corporation)"]
[Kailo Haven (Resources for Human Development RHD - Pennsylvania); name; ""]
[Counseling Services (Pan American Counseling); name; ""]
[Personal Recovery Services PRS (Project HOME); name; ""]
[Parent-Child Interaction Therapy PCIT (Intercommunity Action, Inc. Interact); name; "Parent-Child Interaction Therapy PCIT (Intercommunity Action, Inc. Interact)"]
[Residential Treatment Program (The Bridge); name; ""]
[Support Groups SOS (Survivors of Suicide, Inc.); name; ""]
[Food Pantry (Bless Philadelphia); name; ""]
[Food Pantries (Catholic Social Services - Philadelphia)_v2; name; "Food Pantries (Catholic Social Services - Philadelphia)"]
[Services to Foster Children (SFC) program (Juvenile Justice Center of Philadephia); name; "Services to Foster Children (SFC) program (Juvenile Justice Center of Philadephia)"]
[Food Bank (Eastwick United Methodist Church); name; "Food Bank (Eastwick United Methodist Church)"]
[Low Fee Therapy Services (Council for Relationships CFR); name; "Low Fee Therapy Services (Council for Relationships CFR)"]
[Behavioral Health Services (Dr. Robin Lowey & Associates LLC); name; ""]
[Food Pantry (East Park Revitalization Alliance); name; "Food Pantry (East Park Revitalization Alliance)"]
[The PCS Learning Pod and Parent Resource Center (The Philadelphia Community Stakeholders); name; "The PCS Learning Pod and Parent Resource Center (The Philadelphia Community Stakeholders)"]
[Food Pantry (The North Light Community Center); name; "Food Pantry (The North Light Community Center)"]
[Primary Care for Adults on Medicare (Oak Street Health); name; "Primary Care for Adults on Medicare (Oak Street Health)"]
[Community Integrated Recovery Center CIRC (JEVS Human Services); name; "Community Integrated Recovery Center CIRC (JEVS Human Services)"]
[Maria de los Santos Health Center (Delaware Valley Community Health, Inc.); name; "Maria de los Santos Health Center (Delaware Valley Community Health, Inc.)"]
[Latinx Psychoeducational Groups (Women Organzied Against Rape); name; "Latinx Psychoeducational Groups (Women Organzied Against Rape)"]
[Residential Substance Abuse Program - Interim House West (Public Health Management Corporation); name; ""]
[Food and Clothing Pantry (Calvary Baptist Church); name; ""]
[Behavioral Health Rehabilitation Services (Community Council Health Systems); name; ""]
[Halfway House-2B (Self Help Movement); name; ""]
[Food Pantry (Praise the Living God Holiness Church); name; "Food Pantry (Praise the Living God Holiness Church)"]
[Addiction Recovery Services (Merakey - Pennsylvania); name; "Addiction Recovery Services (Merakey - Pennsylvania)"]
[Food Pantry (Somerton Interfaith Food Bank); name; "Food Pantry (Somerton Interfaith Food Bank)"]
[Family Stress and Illness Program FSIP (Children's Hospital of Philadelphia); name; "Family Stress and Illness Program FSIP (Children's Hospital of Philadelphia)"]
[Hall Mercer Crisis Response Center at Pennsylvania Hospital Adults (University of Pennsylvania Perelman School of Medicine); name; ""]
[AIDS Care (Family Practice & Counseling Network)_5279726148124672; name; "HIV/AIDS Care (Family Practice & Counseling Network)"]
[Behavioral Health Rehabilitation Service BHRS (Citizens Acting Together Can Help, Inc.); name; "Behavioral Health Rehabilitation Service BHRS (Citizens Acting Together Can Help, Inc.)"]
[Women Veterans Health Care (Department Of Veterans Affairs VA - Veterans Health Administration VHA); name; "Women Veterans Health Care (Department Of Veterans Affairs VA - Veterans Health Administration VHA)"]
[Residential Behavioral Health (The Consortium, Inc.); name; ""]
[Behavioral Health Rehabilitation Service (Citizens Acting Together Can Help, Inc.); name; ""]
[Community Support Services (Better Living Center); name; "Community Support Services (Better Living Center)"]
[Behavioral Health Outpatient Services (Northern Children's Services); name; ""]
[Community Outreach, Recovery, & Empowerment (Horizon House); name; ""]
[Substance Abuse Intervention (CORA Services); name; "Substance Abuse Intervention (CORA Services)"]
[Primary Care Services (AbsoluteCARE); name; ""]
[Children's Outpatient Evaluation and Counseling (COMHAR, Inc.); name; "Children's Outpatient Evaluation and Counseling (COMHAR, Inc.)"]
[Fairmount Primary Care Center at Girard Medical Center (Delaware Valley Community Health, Inc.); name; ""]
[Family Self-Sufficiency Program (ACHIEVEability); name; "Family Self-Sufficiency Program (ACHIEVEability)"]
[Latina Domestic Violence Program (Congreso de Latinos Unidos, Inc.); name; ""]
[Diana Baldwin Mental Health Clinic (The Institute for Community Justice); name; ""]
[Crisis Response Center Adults (Temple Health - Episcopal Campus); name; ""]
[Therapy (Modern Intervention Strategies); name; "Therapy (Modern Intervention Strategies)"]
[Family-Based Program (NorthEast Treatment NET Centers); name; ""]
[Crossroads Treatment Center of Philadelphia Kensington (ARS Treatment Centers, P.C.); name; ""]
[Temple Corps Community Center Food Pantry (The Salvation Army - Greater Philadelphia); name; ""]
[Victim Response Services (Women Organized Against Rape); name; ""]
[KITHS Kitchen and Garden (KITHS); name; ""]
[Adolescent Treatment Programming Willpower, Options, Resources and Direction - W.O.R.D (The Consortium, Inc.); name; "Adolescent Treatment Programming Willpower, Options, Resources and Direction - W.O.R.D (The Consortium, Inc.)"]
[Food Pantry (Church Of New Hope And Faith); name; "Food Pantry (Church Of New Hope And Faith)"]
[Addiction Medicine And Health Advocates (Addiction Medicine and Health Advocates Inc); name; "Addiction Medicine And Health Advocates (Addiction Medicine and Health Advocates Inc)"]
[Outpatient Mental and Behavioral Health Therapy Services (Einstein Healthcare Network); name; ""]
[Adolescent Behavioral Health Inpatient Treatment (Friends Hospital); name; "Adolescent Behavioral Health Inpatient Treatment (Friends Hospital)"]
[Gender and Sexuality Program (Children's Hospital of Philadelphia); name; ""]
[Autism Services (Intercommunity Action, Inc.); name; "Autism Services (Intercommunity Action, Inc.)"]
[Substance Abuse Intensive Outpatient (Wedge Recovery Center)_v1; name; "v1"]
[Behavior Health Services (Psychological Services Center at Temple University); name; ""]
[Substance Abuse Intervention (Women In Transition); name; ""]
[Family House Now New Options for Women (Resources for Human Development RHD - Pennsylvania); name; ""]
[Outpatient Mental Health Services (NorthEast Treatment NET Centers); name; "Outpatient Mental Health Services (NorthEast Treatment NET Centers)"]
[Marconi Older Adult Program (Caring People Alliance); name; "Marconi Older Adult Program (Caring People Alliance)"]
[Youth Emergency Service YES (HopePHL); name; "Youth Emergency Service YES (HopePHL)"]
[Adult Blended Case Management (The Consortium, Inc.); name; "Adult Blended Case Management (The Consortium, Inc.)"]
[Food Pantry (Grace Community Christian Center); name; ""]
[Community Integrated Recovery Centers CIRCs at Carlisle (Citizens Acting Together Can Help, Inc.); name; "Community Integrated Recovery Centers CIRCs at Carlisle (Citizens Acting Together Can Help, Inc.)"]
[Adult Behavioral Health Inpatient Treatment (Friends Hospital); name; "Adult Behavioral Health Inpatient Treatment (Friends Hospital)"]
[Emergency Shelter (HELP USA Pennsylvania); name; "Emergency Shelter (HELP USA Pennsylvania)"]
[My SISTAS Resource Hub (Mady's Hands); name; "My SISTAS Resource Hub (Mady's Hands)"]
[Behavioral Health Services (APM); name; ""]
[Food Pantry (Lutheran Settlement House); name; "Food Pantry (Lutheran Settlement House)"]
[Recovery Support Services (Gaudenzia)_4692155605712896; name; "Prevention/Recovery Support Services (Gaudenzia)"]
[Hunger Programs - Senior Citizen Boxes (Feast of Justice); name; ""]
[Emergency Safe Havens (Women Against Abuse); name; ""]
[The Art of Friendship Social-Coping Program (Child & Family Art Therapy Center); name; "The Art of Friendship Social-Coping Program (Child & Family Art Therapy Center)"]
[Clinica Bienestar (The Institute for Community Justice); name; "Clinica Bienestar (The Institute for Community Justice)"]
[HIV Care (Mazzoni Center); name; ""]
[Behavioral Health Rehabilitation Services (Community Council Health Systems); name; "Behavioral Health Rehabilitation Services (Community Council Health Systems)"]
[Emergency Safe Havens (Women Against Abuse); name; "Emergency Safe Havens (Women Against Abuse)"]
[Food Distribution (North10, Philadelphia); name; "Food Distribution (North10, Philadelphia)"]
[Food Bank (Greater Philadelphia Asian Social Service Center); name; "Food Bank (Greater Philadelphia Asian Social Service Center)"]
[Adult Behavioral Health Services (Family Practice & Counseling Network); name; ""]
[PEACE Psychosis Education, Assessment, Care and Empowerment (Horizon House); name; "PEACE Psychosis Education, Assessment, Care and Empowerment (Horizon House)"]
[Food Pantry (Episcopal Community Services); name; "Food Pantry (Episcopal Community Services)"]
[Intensive Behavioral Health Services - Individual Services (Malvern Community Health Services); name; ""]
[Place Of Refuge (Place of Refuge); name; "Place Of Refuge (Place of Refuge)"]
[Y-HEP Health Center (The Institute for Community Justice); name; ""]
[Community Integrated Recovery Centers (CIRCs) at Carlisle (Citizens Acting Together Can Help, Inc.); name; ""]
[Behavioral Health Services (Covenant House Inc); name; ""]
[Medication-Assisted Treatment (NorthEast Treatment Centers - OTP); name; "Medication-Assisted Treatment (NorthEast Treatment Centers - OTP)"]
[Food Pantry (The Common Place); name; "Food Pantry (The Common Place)"]
[Community Integrated Recovery Center (CIRC) at Packer (Citizens Acting Together Can Help, Inc.); name; ""]
[Substance Use Treatment (APM); name; ""]
[Mobile Psychiatric Rehabilitation Services MPRS (JEVS Human Services); name; ""]
[Mental Health & Substance Abuse program (Pathways to Housing PA PTHPA); name; "Mental Health & Substance Abuse program (Pathways to Housing PA PTHPA)"]
[Food Assistance and Relief (Jewish Relief Agency); name; "Food Assistance and Relief (Jewish Relief Agency)"]
[Family Based Program (The Consortium, Inc.); name; "Family Based Program (The Consortium, Inc.)"]
[Food Distribution (Mighty Writers); name; ""]
[Homeless Veterans Initiative (Disabled American Veterans); name; "Homeless Veterans Initiative (Disabled American Veterans)"]
[Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center); name; "Short Term Rehabilitation (Willow Terrace Nursing And Rehabilitation Center)"]
[Food Cabinet (Lutheran Church of the Holy Communion); name; "Food Cabinet (Lutheran Church of the Holy Communion)"]
[Behavior Health Rehabilitative Services BHRS (Community Council Health Systems); name; "Behavior Health Rehabilitative Services BHRS (Community Council Health Systems)"]
[The Bridge (Public Health Management Corporation); name; "The Bridge (Public Health Management Corporation)"]
[Outley House (SELF, Inc.); name; ""]
[VHA Medical Centers (US Department of Veterans Affairs VA - Veterans Health Administration VHA); name; "VHA Medical Centers (US Department of Veterans Affairs VA - Veterans Health Administration VHA)"]
[Food Pantry (Mission of St. Joan of Arc); name; ""]
[Counseling (Circle Counseling); name; "Counseling (Circle Counseling)"]
[Community Counseling Services (Methodist Services); name; "Community Counseling Services (Methodist Services)"]
[Outpatient Subsance Abuse Program (Wedge Recovery Center); name; "Outpatient Subsance Abuse Program (Wedge Recovery Center)"]
[Free Food for the People (The West Philly Bunny Hop); name; "Free Food for the People (The West Philly Bunny Hop)"]
[Mother Baby Connections (Drexel University); name; ""]
[Food Pantry (East Park Revitalization Alliance); name; ""]
[Drug and Alcohol Substance Use Disorder Residential Rehabilitation (Horizon House); name; ""]
[Camp Achieve (Epilepsy Foundation Eastern Pennsylvania); name; ""]
[SFHF Food Bank (Summers Home for Hope); name; ""]
[Mental Health Therapy (Julia Ferrence, MSW, LSSW.); name; ""]
[Behavioral Health Rehabilitation Services (Child Guidance Resource Centers); name; "Behavioral Health Rehabilitation Services (Child Guidance Resource Centers)"]
[Place Of Refuge (Place of Refuge); name; ""]
[Bilingual Domestic Violence Program - Hotline (Lutheran Settlement House); name; "Bilingual Domestic Violence Program - Hotline (Lutheran Settlement House)"]
[Veterans Services (Vietnam Veterans Of America - Pennsylvania); name; "Veterans Services (Vietnam Veterans Of America - Pennsylvania)"]
[Women's Trauma Unit (Fairmount Behavioral Health System); name; ""]
[Food Pantry (Second Baptist Church of Frankford); name; "Food Pantry (Second Baptist Church of Frankford)"]
[2 Fish 5 Loaves (Upper Room Baptist Church); name; "2 Fish 5 Loaves (Upper Room Baptist Church)"]
[Making Homes Affordable - Housing Counseling Program (Intercultural Family Services, Inc.); name; "Making Homes Affordable - Housing Counseling Program (Intercultural Family Services, Inc.)"]
[Wraparound Services (Northwest Victim Services); name; "Wraparound Services (Northwest Victim Services)"]
[Sleep Center (Children's Hospital of Philadelphia); name; "Sleep Center (Children's Hospital of Philadelphia)"]
[Food Bag Distribution (Bethel Presbyterian Church); name; "Food Bag Distribution (Bethel Presbyterian Church)"]
[MST-PSB Multisystemic Therapy for Problem Sexual Behavior (Public Health Management Corporation); name; ""]
[Nutrition Lunch and Learn (Frazier Family Coalition for Stroke Education and Prevention); name; "Nutrition Lunch and Learn (Frazier Family Coalition for Stroke Education and Prevention)"]
[Diabetes Management (Puentes De Salud)%A; name; """Diabetes Management (Puentes De Salud)"""]
[Farm to Families (St. Christopher's Foundation for Children)_v1; name; "Farm to Families (St. Christopher's Foundation for Children)"]
[New Pathways Project (Public Health Management Corporation); name; ""]
[Family Support Services (Philadelphia Family Voices); name; ""]
[Crossroads Treatment Center of West Philadelphia (ARS Treatment Centers, P.C.); name; "Crossroads Treatment Center of West Philadelphia (ARS Treatment Centers, P.C.)"]
[Food Pantry (Episcopal Community Services); name; ""]
[Food Cupboard (Refuge Evangelical Baptist Church); name; "Food Cupboard (Refuge Evangelical Baptist Church)"]
[Victim Assistance Program (Archdiocese of Philadelphia - Office for Child and Youth Protection); name; "Victim Assistance Program (Archdiocese of Philadelphia - Office for Child and Youth Protection)"]
[Stabilization Treatment and Engagement Program STEP (Prevention Point Philadelphia); name; ""]
[Mental Health Outpatient Services (Wedge Recovery Center); name; ""]
[CORE Group (Women Organized Against Rape); name; ""]
[Child & Family Outpatient Center (WES Health System); name; ""]
[Our Closet in Your Neighborhood (Jewish Family and Children's Service of Greater Philadelphia); name; ""]
[Greenridge Counseling Center (Intercommunity Action, Inc. Interact); name; ""]
[Food Pantry (St. Paul Metropolitan A.M.E. Church); name; "Food Pantry (St. Paul Metropolitan A.M.E. Church)"]
[Counseling Services (Thriveworks - Pennsylvania); name; ""]
[Residential Maternity Shelter (Mothers' Home); name; ""]
[Opioid Treatment Program OTP (Northeast Treatement Centers, Inc); name; "Opioid Treatment Program OTP (Northeast Treatement Centers, Inc)"]
[Crossroads Treatment Center of Philadelphia (ARS Treatment Centers, P.C.); name; "Crossroads Treatment Center of Philadelphia (ARS Treatment Centers, P.C.)"]
[Food Pantry (Church Of New Hope And Faith); name; ""]
[Psychology Services (Children's Hospital of Philadelphia); name; ""]
[FamilyBased Mental Health Services FBMHS (WES Health System); name; "FamilyBased Mental Health Services FBMHS (WES Health System)"]
[Adult Outpatient Services (Hispanic Community Counseling Services HCCS); name; ""]
[Outpatient Treatment at The Welcome Center (COMHAR, Inc.); name; "Outpatient Treatment at The Welcome Center (COMHAR, Inc.)"]
[Drive To End Hunger Ministry (Pinn Memorial Baptist Church); name; ""]
[PHMC Health Connection (Public Health Management Corporation); name; "PHMC Health Connection (Public Health Management Corporation)"]
[Grocery, Clothing, and Book Give A Way (Ujima Friends Peace Center); name; "Grocery, Clothing, and Book Give A Way (Ujima Friends Peace Center)"]
[Steven A. Cohen Military Family Clinic at Penn (University of Pennsylvania Perelman School of Medicine); name; "Steven A. Cohen Military Family Clinic at Penn (University of Pennsylvania Perelman School of Medicine)"]
[Adult Outpatient Services (Hispanic Community Counseling Services HCCS); name; "Adult Outpatient Services (Hispanic Community Counseling Services HCCS)"]
[Outpatient Medication-Assisted Treatment MAT (COMHAR, Inc.); name; ""]
[Wellness Alliance Community Integration and Recovery Center (Horizon House); name; ""]
[Mental Health Counseling (Philip Jaisohn Memorial Foundation); name; ""]
[Child and Adolescent Anxiety Disorders Clinic (Psychological Services Center at Temple University); name; ""]
[Men's Shelter (Philly House); name; "Men's Shelter (Philly House)"]
[Food Pantry (United Methodist Neighborhood Services); name; "Food Pantry (United Methodist Neighborhood Services)"]
[Adult Outpatient Psychiatry (Jefferson Health - Vickie & Jack Farber Institute for Neuroscience); name; "Adult Outpatient Psychiatry (Jefferson Health - Vickie & Jack Farber Institute for Neuroscience)"]
[Anxiety Behaviors Clinic (Children's Hospital of Philadelphia); name; ""]
[Center City Philadelphia Vet Center (Center City Philadelphia Vet Center); name; ""]
[Food Pantry (St. Mark's Evangelical Lutheran Church); name; "Food Pantry (St. Mark's Evangelical Lutheran Church)"]
[Free Veteran Service Dog (Alpha Bravo Canine); name; ""]
[Camp Achieve (Epilepsy Foundation Eastern Pennsylvania); name; "Camp Achieve (Epilepsy Foundation Eastern Pennsylvania)"]
[Pediatrics (Esperanza Health Center); name; ""]
[Mental Health Treatment (CORA Services); name; ""]
[Behavioral Health Rehabilitation Services BHRS (Pennsylvania Mentor); name; "Behavioral Health Rehabilitation Services BHRS (Pennsylvania Mentor)"]
[Rising Sun Health Center (Public Health Management Corporation); name; ""]
[Youth Empowerment Program (Earths Keepers); name; "Youth Empowerment Program (Earths Keepers)"]
[Counseling Services (Estadt Psychological Services); name; "Counseling Services (Estadt Psychological Services)"]
[Senior (Philabundance)_5692243664961536; name; ""]
[AIDS Prevention-Young Sisters Take Charge YSTC (Public Health Management Corporation)_6614475968872448; name; "HIV/AIDS Prevention-Young Sisters Take Charge YSTC (Public Health Management Corporation)"]
[Greater Philadelphia Association For Recovery Education (Greater Philadelphia Association For Recovery Education); name; "Greater Philadelphia Association For Recovery Education (Greater Philadelphia Association For Recovery Education)"]
[Senior Behavioral Health Inpatient Treatment (Friends Hospital); name; "Senior Behavioral Health Inpatient Treatment (Friends Hospital)"]
[Small Things Market (Small Things); name; "Small Things Market (Small Things)"]
[Emergency Disaster Services (Salvation Army Eastern Pennsylvania and Delaware); name; "Emergency Disaster Services (Salvation Army Eastern Pennsylvania and Delaware)"]
[Children & Youth Outpatient Services (Northeast Community Center for Behavioral Health); name; "Children & Youth Outpatient Services (Northeast Community Center for Behavioral Health)"]
[Free Therapy (Black Brain Campaign); name; "Free Therapy (Black Brain Campaign)"]
[Food Pantry (Turning Points for Children); name; ""]
[Food Pantry (Philadelphia Episcopal Cathedral); name; ""]
[Food Pantry (St. Barbara's Roman Catholic Church); name; ""]
[Pediatric and Adolescent Health Center (The Institute for Community Justice); name; ""]
[Pediatrics (Esperanza Health Center); name; "Pediatrics (Esperanza Health Center)"]
[Behavioral Health (Puentes De Salud); name; "Behavioral Health (Puentes De Salud)"]
[Church-Based Shelters (Bethesda Project); name; ""]
[Crossroads Treatment Center of Philadelphia (ARS Treatment Centers, P.C.); name; ""]
[Mitzvah Food Program (Jewish Federation of Greater Philadelphia); name; "Mitzvah Food Program (Jewish Federation of Greater Philadelphia)"]
[Food Pantry (Project HOME); name; "Food Pantry (Project HOME)"]
[Food Pantries (Salvation Army Eastern Pennsylvania & Delaware); name; "Food Pantries (Salvation Army Eastern Pennsylvania & Delaware)"]
[Psychosis Treatment (University of Pennsylvania - Perelman School of Medicine - Psychosis Evaluation & Recovery Center); name; ""]
[Community Choice Cupboard (Feast of Justice); name; "Community Choice Cupboard (Feast of Justice)"]
[Free Therapy (Black Brain Campaign); name; ""]
[Phone Counseling (Women In Transition); name; "Phone Counseling (Women In Transition)"]
[Food Pantry (Saint Paul's Evangelical Lutheran Church); name; ""]
[Partial Hospitalization Program PHP (Merakey - Pennsylvania); name; ""]
[Adult Outpatient Services (Hispanic Community Counseling Services); name; ""]
[Food Pantry (Project HOME); name; ""]
[Primary Care (Family Practice & Counseling Network); name; ""]
[Food Pantry (Freedom Christian Bible Fellowship); name; ""]
[Food Pantry (Saint Ignatius of Loyola); name; "Food Pantry (Saint Ignatius of Loyola)"]
[Community Integrated Recovery Centers (CIRCs) at Carlisle (Citizens Acting Together Can Help, Inc.); name; "Community Integrated Recovery Centers (CIRCs) at Carlisle (Citizens Acting Together Can Help, Inc.)"]
[Food Pantry (The Salvation Army of Greater Philadelphia); name; "Food Pantry (The Salvation Army of Greater Philadelphia)"]
[Women, Pregnant Women and Women with Children's Services (Gaudenzia); name; ""]
[The Penn Center for Youth and Family Trauma Response and Recovery Services (University of Pennsylvania Perelman School of Medicine); name; "The Penn Center for Youth and Family Trauma Response and Recovery Services (University of Pennsylvania Perelman School of Medicine)"]
[Community Residential Services (Horizon House); name; ""]
[Recovery Support Services RSS (Council of Southeast Pennsylvania, Inc.); name; "Recovery Support Services RSS (Council of Southeast Pennsylvania, Inc.)"]
[Food Pantry (Turning Points for Children); name; "Food Pantry (Turning Points for Children)"]
[Adult Behavioral Health Services (University of Pennsylvania Perelman School of Medicine); name; "Adult Behavioral Health Services (University of Pennsylvania Perelman School of Medicine)"]
[Adolescent Medicine (Children's Hospital of Philadelphia); name; ""]
[Counseling (Circle Counseling); name; ""]
[Intensive Outpatient Program (Casa de Consejeria); name; ""]
[Kailo Haven (Resources for Human Development RHD - Pennsylvania); name; "Kailo Haven (Resources for Human Development RHD - Pennsylvania)"]
[Drop-In Social Services (Broad Street Love BSL); name; ""]
[Adult Outpatient Services (Hispanic Community Counseling Services); name; "Adult Outpatient Services (Hispanic Community Counseling Services)"]
[Fairmount Primary Care Center at Horizon House (Delaware Valley Community Health, Inc.); name; ""]
[Child and Family Behavioral Health Services Outpatient (University of Pennsylvania Perelman School of Medicine); name; "Child and Family Behavioral Health Services Outpatient (University of Pennsylvania Perelman School of Medicine)"]
[Food Pantry (Somerton Interfaith Food Bank); name; ""]
[Women's Therapy Center (Women's Therapy Center Inc); name; "Women's Therapy Center (Women's Therapy Center Inc)"]
[Community Integrated Recovery Center (CIRC) at Penrose (Citizens Acting Together Can Help, Inc.); name; ""]
[Outpatient Behavioral Health (Tower Health - Tower-Drexel Academic Medical Group)_v2%A; name; "Outpatient Behavioral Health (Tower Health - Tower-Drexel Academic Medical Group)"]
[Food Pantry (Mizpah Seventh Day Adventist Church); name; ""]
[Personal Recovery Services PRS (Project HOME); name; "Personal Recovery Services PRS (Project HOME)"]
[Pregnancy Testing and Services (Spectrum Health Services); name; ""]
[Older Adult and Senior Counseling (Jewish Family and Children's Service of Greater Philadelphia); name; "Older Adult and Senior Counseling (Jewish Family and Children's Service of Greater Philadelphia)"]
[Latino Treatment Program - Family Outpatient Evaluation and Counseling (COMHAR, Inc.); name; ""]
[Children's Blended Case Management (The Consortium, Inc.); name; ""]
[Center for Brief Therapy (Philadelphia College of Osteopathic Medicine Healthcare Centers); name; "Center for Brief Therapy (Philadelphia College of Osteopathic Medicine Healthcare Centers)"]
[Outpatient Mental Health Services (NorthEast Treatment NET Centers); name; ""]
[Teach Recovery Education Empowerment TREE IOP (The Institute for Community Justice); name; "Teach Recovery Education Empowerment TREE IOP (The Institute for Community Justice)"]
[Jane Addams Place (Lutheran Settlement House); name; ""]
[Psychology Services (Children's Hospital of Philadelphia); name; "Psychology Services (Children's Hospital of Philadelphia)"]
[Counseling Program (Feast of Justice); name; ""]
[Latino Treatment Program - Family Outpatient Evaluation and Counseling (COMHAR, Inc.); name; "Latino Treatment Program - Family Outpatient Evaluation and Counseling (COMHAR, Inc.)"]
[Counseling Services (Springfield Psychological); name; ""]
[Latina Domestic Violence Program (Congreso de Latinos Unidos, Inc.); name; "Latina Domestic Violence Program (Congreso de Latinos Unidos, Inc.)"]
[Outpatient Behavioral Health (Tower Health - Tower -Drexel Academic Medical Group)_v1; name; "v1"]
[Comprehensive Shelters (Salvation Army Eastern Pennsylvania & Delaware); name; "Comprehensive Shelters (Salvation Army Eastern Pennsylvania & Delaware)"]
[Vivian's Cupboard Food Bank (Mazzoni Center); name; "Vivian's Cupboard Food Bank (Mazzoni Center)"]
[Farm to Families (St. Christopher's Foundation for Children)_v2; name; "Farm to Families (St. Christopher's Foundation for Children)"]
